"Term","English Equivalent","Phonetic Pronunciation","Part of Speech","Franchise","Medium","Related Words (Cross-Franchise)","Real-World Euphemisms","Category","Severity","Notable Speaker","First Appearance (Episode/Chapter/Issue)","Short Description","Etymology (Narrative)","Semantic Drift Timeline","Usage History (Narrative)","Taboo Trajectory (Narrative)","Regional Notes (In-Universe)","Example Quote"
"Mivonks","Balls / Testicles","MIH-vonks","Noun","Farscape","TV","Shebs (Star Wars Mandalorian); Kelek's balls (Stormlight Archive)","Balls; Nuts; Stones; Nads","Sexual; Obscenity","Moderate","Aeryn Sun (Claudia Black)","S1E5 'Back and Back and Back to the Future' (1999)","Anatomical slang for testicles in Farscape. Used both literally and in figurative expressions about manipulation.","Alien anatomical term from the Uncharted Territories. Used to describe being led around or controlled by desire.","Consistent throughout the series. Usually used in the context of someone being manipulated romantically.","One of Farscape's more colorful anatomical terms, memorable for Claudia Black's delivery.","A mid-level vulgarism — crude but not the most extreme term in Farscape's vocabulary.","Used across multiple species.","She's clearly leading D'Argo around by his mivonks."
"Gorram","Goddamn","GOR-am","Adjective/Interjection","Firefly / Serenity","TV/Film","Dank Farrik (Star Wars); Frak (BSG); Storming (Stormlight)","Gosh darn; Dadgum; Blasted; Goldarn","Blasphemy; Profanity","Moderate","Malcolm Reynolds (Nathan Fillion)","S1E1 'Serenity' (2002)","Firefly's frontier-flavored contraction of 'goddamn,' fitting the show's space-western aesthetic perfectly.","A phonetic contraction of 'God damn' filtered through Firefly's frontier dialect. Fits the show's space-Western speech patterns.","Stable — no meaning shift. The show's single-season run gave no time for evolution.","Firefly (2002-2003, 14 episodes). Serenity (2005 film).","Achieved cultural penetration wildly disproportionate to the show's brief run. Fans regularly use it in real conversation — one of the most adopted fictional swear words in English.","Associated with the outer planets and frontier culture. Inner-world ('Core') characters would be less likely to use it.","Gorramit, Mal, we're humped!"
"Shiny","Cool / Great (positive exclamation)","SHY-nee","Adjective/Interjection","Firefly / Serenity","TV/Film","Nova (Cyberpunk); Preem (Cyberpunk); Wizard (Stormlight Archive)","Cool; Awesome; Sweet; Swell","Profanity","Mild","Kaylee Frye (Jewel Staite)","S1E1 'Serenity' (2002)","Firefly slang for 'cool' or 'great.' Not a curse per se but part of the show's distinctive vernacular that replaced standard exclamations.","Derived from the idea that in the resource-scarce frontier of the outer planets, something shiny and new is inherently desirable and exciting.","Consistent through the series. Primarily associated with Kaylee's optimistic personality.","Used throughout Firefly and adopted enthusiastically by the fan community. 'Shiny' became a hallmark of Browncoat culture.","Never truly taboo — it's the positive end of Firefly's slang spectrum. Its persistence in fan culture shows how deeply the show's language was embraced.","Frontier/outer planet slang. Kaylee uses it most frequently.","Shiny! Let's be bad guys."
"Dank Farrik","Goddammit / Damn it","DANK FAR-ik","Interjection","Star Wars (The Mandalorian)","TV","Gorram (Firefly); Karabast (Star Wars Rebels); Storms (Stormlight Archive)","Dagnabbit; Gosh darnit; Dammit; Blast","Blasphemy; Profanity","Moderate","Greef Karga (Carl Weathers) / Kuiil (Nick Nolte)","S1E4 'Sanctuary' (2019)","An expression of frustration or astonishment in the Star Wars galaxy, equivalent to 'goddammit' or 'son of a bitch.' Popularized by The Mandalorian.","Origin unknown within Star Wars lore. Emerged in The Mandalorian as part of the show's effort to give frontier characters distinctive speech without using Earth profanity.","Stable — functions as a frustration exclamation. Has not yet developed adjectival forms.","The Mandalorian S1 (2019). Referenced in memes and merchandise.","A Disney+ creation, so inherently PG-friendly. Despite this, it carries enough emotional weight through performance to feel like genuine swearing.","Used across multiple Star Wars worlds. Not tied to a specific species or culture.","Dank farrik, that was close!"
"Karabast","Damn / Dammit","KAIR-uh-bast","Interjection","Star Wars (Rebels)","TV","Gorram (Firefly); Dank Farrik (Mandalorian); Storms (Stormlight)","Dammit; Blast; Darn; Rats","Profanity","Moderate","Zeb Orrelios (Steve Blum)","S1E1 'Spark of Rebellion' (2014)","A Lasat exclamation expressing extreme irritation or surprise. Zeb's signature curse word in Star Wars Rebels.","A Lasat-language exclamation. Show creator Dave Filoni and writer Greg Weisman confirmed it as an in-universe curse word. Later appeared briefly in Rogue One.","Primarily Zeb's catchphrase throughout Rebels. Made a brief film appearance in Rogue One when Commander Pao uses it during the Battle of Scarif.","Used throughout Star Wars Rebels (2014-2018). Briefly crossed into film via Rogue One (2016). Also appeared in the novel Master & Apprentice.","A kid-friendly curse for a Disney XD animated series. Despite its mild deployment, it carries genuine emotional weight through Steve Blum's vocal performance.","Originally Lasat, but adopted by other Rebel soldiers who work alongside Lasat warriors.","Karabast! They've cut off our escape route!"
"Kriff","Fuck (milder)","KRIF","Verb/Adjective/Interjection","Star Wars (various novels)","Books/Comics","Frak (BSG); Frell (Farscape); Kark (Star Wars)","Frick; Freaking; Effing","Obscenity; Profanity","Extreme","Various characters","Hand of Thrawn duology by Timothy Zahn (1997-1998)","The Star Wars galaxy's most widespread F-word equivalent. Can be used as verb, adjective (kriffing), or interjection.","First appeared in Timothy Zahn's Hand of Thrawn duology. Likely derived from a rearrangement of the letters in 'fricking,' a real-world euphemism. No specific in-universe language origin established.","Started in Legends novels. Crossed into Disney canon through the Aftermath trilogy and High Republic comics. Now the standard Star Wars F-word substitute.","Originated in 1997 Legends novels. Survived the Legends/Canon split and appears in current Disney-era books and comics. One of the few Legends-era profanities to make the transition fully.","Started as a novel-only word. Gradually became the accepted Star Wars equivalent of a strong curse. Its persistence across the Legends-Canon divide shows how essential it became to Star Wars fiction writers.","Widespread across the galaxy. Used by Imperials, Rebels, smugglers, and civilians alike. No species-specific origin.","Schutta? Well, that's just charming. If there's one thing I can't stand, it's bad kriffing language."
"Kark","Fuck","KARK","Verb/Adjective/Interjection","Star Wars (Legacy comics)","Comics","Kriff (Star Wars); Frak (BSG); Frell (Farscape)","F-word; Effing; Freaking","Obscenity; Profanity","Extreme","Various characters","Star Wars: Legacy comic series (2006-2010)","A Huttese expletive that functions as a strong F-word equivalent. Most prominent in the Legacy-era comics.","Originated in Huttese, the language of the Hutts. Appears frequently in Star Wars: Legacy comics.","Primarily a Legacy-era term. Less common in other Star Wars eras, where kriff dominates.","Most prominent in the Star Wars: Legacy comic series (2006-2010). Less widespread than kriff in the broader canon.","A strong expletive that operates at the same taboo level as kriff but with a Huttese cultural origin that gives it a grittier, underworld feel.","Huttese in origin. Associated with the criminal underworld and Outer Rim territories.","Kark on you, you sleemo!"
"Fierfek","Shit / Damn (strong)","FEER-fek","Noun/Interjection","Star Wars (various)","Books/Games","Dren (Farscape); Felgercarb (BSG); Crem (Stormlight)","Damn; Crap; Blast","Profanity; Obscenity","Extreme","Republic Commandos","Tales from Jabba's Palace anthology (1996); Star Wars: Republic Commando (2005)","A Huttese curse meaning something vile. Popular among clone commandos in the Republic Commando media.","Originally Huttese, meaning 'poison' in-universe. Adopted by clone troopers and other military personnel as a general expletive, losing its literal meaning.","Began as a Huttese word meaning 'poison.' Evolved into a general-purpose military expletive among clone troopers, losing its original denotation.","First appeared in the 1996 Tales from Jabba's Palace anthology. Gained prominence through the 2005 video game Republic Commando and Karen Traviss's novels.","Started as an alien word with a specific meaning. Military adoption stripped it of its literal sense and elevated it to a pure expletive.","Huttese origin but widely adopted by Republic military personnel, especially clone commandos.","Fierfek! We've lost the perimeter!"
"Stang","Damn / Hell","STANG","Interjection/Noun","Star Wars (Splinter of the Mind's Eye)","Books/Comics","Karabast (Star Wars); Gorram (Firefly); Storms (Stormlight)","Damn; Blast; Dang; Heck","Profanity","Moderate","Various Alderaanian characters","Splinter of the Mind's Eye by Alan Dean Foster (1978)","An Alderaanian expletive. One of the oldest invented swear words in the Star Wars expanded universe.","Introduced as an Alderaanian curse in the very first Star Wars expanded universe novel. One of the earliest attempts to create Star Wars-specific profanity.","Remained a mild expletive throughout its usage. Never evolved beyond its original function.","First appeared in 1978, making it one of the oldest Star Wars profanities. Used subsequently in novels, comic books, and games across decades of Star Wars publishing.","Has remained at a consistent mild-to-moderate level throughout its history. Never became as prominent as kriff or even karabast.","Alderaanian in origin. After Alderaan's destruction, the word presumably survived among the diaspora.","Stang! We've been discovered!"
"Sithspit","Shit / Damn","SITH-spit","Interjection/Noun","Star Wars (various)","Books/Comics","Sithspawn (Star Wars); Dren (Farscape); Blast (general)","Damn; Blast; Crap; Crud","Blasphemy; Profanity","Moderate","Various characters","Star Wars Legends novels (1990s)","A common curse in all eras of the Star Wars universe, expressing surprise, anger, or disgust. References the Sith as a source of cosmic evil.","Combines 'Sith' (the dark side practitioners) with 'spit' to create a blasphemous compound. Originated on Corellia according to some sources.","Consistent usage as a general expletive. The related 'Sithspawn' refers more specifically to creatures mutated by Sith magic.","Used across decades of Star Wars publishing. One of the more naturalistic-sounding Star Wars curses.","Derives its taboo from invoking the Sith, the galaxy's most feared practitioners of evil. More blasphemous than scatological.","Corellian in origin according to some sources, but used galaxy-wide.","Oh, Sithspit, we just lost Venom."
"Sithspawn","Son of a bitch / Damn","SITH-spawn","Noun/Interjection","Star Wars (Dark Empire II)","Comics","Sithspit (Star Wars); Son of a mynock (Star Wars)","SOB; Bastard; Spawn of evil","Blasphemy; Insult","Extreme","Various characters","Dark Empire II comic series (1994-1995)","Both a general curse and a term for creatures genetically engineered by the Sith. As an expletive, it implies something born of pure evil.","Combines 'Sith' with 'spawn' — offspring. Refers both literally to Sith-created creatures and figuratively as an insult or exclamation.","Dual meaning — started as a creature classification and evolved into a general expletive. Both uses persist.","Introduced in Dark Empire II (1994-1995). Used in both Legends and Canon materials.","The dual literal/figurative meaning gives it extra weight. Calling someone a Sithspawn is both blasphemous and implies monstrous origin.","Corellian in origin but used galaxy-wide. Both the creatures and the curse originate from Sith-influenced regions.","That Sithspawn nearly took my arm off!"
"E chu ta","Fuck off / Go to hell (implied)","eh-CHOO-tah","Interjection","Star Wars (The Empire Strikes Back)","Film","Frell off (Farscape); Frak off (BSG); Zark off (Hitchhiker's)","Screw you; Get lost; Buzz off","Obscenity; Insult","Extreme","E-3PO (silver protocol droid)","The Empire Strikes Back (1980)","A Huttese curse uttered by a silver protocol droid to C-3PO in Cloud City. C-3PO's shocked 'How rude!' suggests it's deeply offensive.","Huttese phrase. Its exact translation is deliberately left ambiguous by Lucasfilm, but C-3PO's scandalized reaction implies it's quite vulgar.","Remained a mysterious, untranslated insult. Its power comes from its ambiguity.","Appeared in The Empire Strikes Back (1980). One of the earliest in-universe curse words in Star Wars film canon. Referenced and discussed by fans for decades.","Its deliberate lack of translation makes it more intriguing. The audience infers its severity entirely from C-3PO's reaction, which is a masterclass in implied profanity.","Huttese. Used in Cloud City, Bespin.","E chu ta! — How rude!"
"Sleemo","Slimeball","SLEE-moh","Noun (Insult)","Star Wars (The Phantom Menace)","Film","Toad (general); Worm (general); Slug (Farscape for Rygel)","Slimeball; Creep; Lowlife; Scumbag","Insult","Mild","Anakin Skywalker (Jake Lloyd)","The Phantom Menace (1999)","A Huttese insult translating roughly to 'slimeball.' Used by young Anakin on Tatooine.","Huttese word. Anakin, growing up as a slave on Tatooine among Hutts, naturally uses Huttese insults.","Remained a mild insult throughout its usage. Never evolved beyond its original meaning.","Used in The Phantom Menace (1999) and subsequent Star Wars media.","A mild insult suitable for a PG-rated film featuring a child protagonist.","Huttese. Common on Hutt-controlled worlds like Tatooine.","Cho skrunee dopat, sleemo! (Don't count on it, slimeball!)"
"Druk","Shit (literal excrement)","DRUK","Noun","Star Wars (various novels)","Books","Dren (Farscape); Dwang (Star Wars); Crem (Stormlight Archive)","Crap; Dung; Muck; Excrement","Scatological","Moderate","Various characters","Star Wars novels (2000s)","An alien word literally meaning excrement. Used in compounds like 'a druk-load of problems.'","An alien loan-word that entered Galactic Basic as a scatological term. Its literal meaning is excrement.","Remained consistently scatological. No semantic drift.","Used in various Star Wars novels as a stronger alternative to 'bantha fodder.'","A moderately strong scatological term. More vulgar than 'bantha poodoo' but less versatile than kriff.","Outer Rim origin. Common among military personnel and smugglers.","We've got a druk-load of problems heading our way."
"Dwang","Shit / Crap","DWANG","Noun","Star Wars (Republic Commando novels)","Books","Dren (Farscape); Druk (Star Wars); Osik (Star Wars Mandalorian)","Crap; Dung; Rubbish","Scatological","Moderate","Clone troopers","Republic Commando: Triple Zero by Karen Traviss (2006)","A euphemism for excrement used by clone troopers during the Clone Wars.","Part of the military slang adopted by clone troopers. Karen Traviss created extensive Mandalorian and clone military vocabulary.","Remained military slang. Did not spread beyond the clone trooper/Mandalorian cultural sphere.","Introduced in Karen Traviss's Republic Commando novels (2006+). Part of a rich military vocabulary system.","A moderately vulgar military term. Part of the distinctive clone trooper speech patterns.","Used by clone troopers trained on Kamino. Likely Mandalorian-influenced given Jango Fett's heritage.","Step in dwang and you'll bring the stink with you."
"Shebs","Ass / Buttocks","SHEBZ","Noun","Star Wars (Republic Commando novels)","Books","Mivonks (Farscape); Bippie (Laugh-In)","Butt; Behind; Rear end; Backside","Obscenity; Scatological","Moderate","Mandalorian characters","Republic Commando: Hard Contact by Karen Traviss (2004)","A Mandalorian swear word meaning buttocks. Used in insults and expressions of contempt.","Mando'a (Mandalorian language) term created by Karen Traviss as part of her extensive Mandalorian cultural vocabulary.","Remained anatomical slang within the Mandalorian cultural sphere.","Introduced in Karen Traviss's Republic Commando series. Part of the broader Mando'a language she developed.","A moderate vulgarity. Anatomical but not the strongest term in the Mandalorian vocabulary.","Mandalorian-specific. Used on Mandalore and by Mandalorian diaspora cultures.","Get off your shebs and fight!"
"Shazbot","Shit / Damn","SHAZ-bot","Interjection","Mork & Mindy","TV","Smeg (Red Dwarf); Frak (BSG); Zark (Hitchhiker's Guide)","Shoot; Darn; Dang; Rats","Profanity","Mild","Mork (Robin Williams)","S1E1 'Pilot' (1978)","An Orkan curse word used by Mork, an alien from the planet Ork. Briefly became a real-world pop culture catchphrase in the late 1970s-80s.","Reportedly improvised by Robin Williams on set. Thought to be a blend of 'Shazam' (the DC superhero exclamation) and 'robot.' No official etymology exists.","Remained Mork's signature exclamation throughout the series. Did not develop additional forms or conjugations.","Used throughout Mork & Mindy's four seasons (1978-1982). Crossed into mainstream pop culture as a catchphrase. For about a decade, 'shazbot' was a widely recognized pseudo-curse.","Peaked in the late 1970s-early 1980s as a genuine pop culture phenomenon. Faded with the show's end but retained nostalgic recognition. Often cited as the proto-example of fictional TV profanity.","Orkan. Used exclusively by Mork, the only Orkan character seen regularly.","Shazbot! I can't believe I did that!"
"Belgium","Fuck (most offensive word in the galaxy)","BEL-jum","Noun/Interjection","The Hitchhiker's Guide to the Galaxy","Books/Film","Frak (BSG); Frell (Farscape); Smeg (Red Dwarf)","The F-word; The worst word imaginable","Obscenity; Profanity","Extreme","Various characters","Life, the Universe and Everything by Douglas Adams (1982; originally in The Hitchhiker's Guide to the Galaxy radio series)","In the Hitchhiker's universe, 'Belgium' is the most unspeakably offensive word in the galaxy. It was introduced when American publishers refused to print the original F-word.","Douglas Adams originally wrote an actual English profanity. When American publishers refused to print it, Adams replaced it with 'Belgium' and added a passage explaining it was the most profane word in the galaxy — turning censorship into comedy.","Started as a censorship workaround. Became canonical in the Hitchhiker's universe. The joke is that something utterly mundane on Earth is cosmically offensive everywhere else.","Originated in the radio series, formalized in Life, the Universe and Everything (1982). The 2005 film included the concept. Remains one of the most celebrated examples of meta-fictional profanity.","Unique trajectory — began as a real-world censorship dodge that Adams turned into a joke about the arbitrariness of taboo language. It's simultaneously the mildest and most extreme fictional curse word.","Offensive throughout the galaxy EXCEPT on Earth, where it's merely a small country. This disconnect is the joke.","Belgium, man, Belgium!"
"Zark","Fuck","ZARK","Verb/Adjective","The Hitchhiker's Guide to the Galaxy","Books","Frak (BSG); Frell (Farscape); Fork (Good Place)","Frick; Freaking; Effing","Obscenity; Profanity","Extreme","Various characters","Life, the Universe and Everything by Douglas Adams (1982)","A verb used like a substitute for 'fucking.' Likely derived from the prophet Zarquon in-universe.","Probably derived from Zarquon, a messianic figure in the Hitchhiker's universe. Using a holy figure's name as profanity follows real-world blasphemy patterns.","Consistent usage as an expletive modifier throughout the Hitchhiker's series.","Used in the later Hitchhiker's books. Less famous than 'Belgium' but part of the same profanity system.","Functions as standard blasphemous profanity within the Hitchhiker's universe.","Galaxy-wide usage in the Hitchhiker's universe.","Zark off."
"Mudblood","N-word (racial slur)","MUD-blud","Noun (Slur)","Harry Potter","Books/Film","Toaster (BSG); Mutie (X-Men); Prawn (District 9); N'wah (Elder Scrolls)","Racial slur; Ethnic slur; Blood-based bigotry term","Slur","Extreme","Draco Malfoy (Tom Felton)","Harry Potter and the Chamber of Secrets (1998 book / 2002 film)","A deeply offensive slur used by blood-purist wizards against Muggle-born witches and wizards. Functions as the wizarding world's equivalent of the most extreme racial slurs.","Compound of 'mud' (impure) and 'blood' (lineage). Implies Muggle-born wizards have dirty blood unworthy of magical society. Reflects real-world racial purity ideology.","Escalates across the series. Schoolyard insult in Chamber of Secrets. Institutional weapon in Deathly Hallows, where the Ministry uses 'Mudblood Registration' as a tool of persecution.","Harry Potter and the Chamber of Secrets (1998 book, 2002 film). Central to all subsequent books and films through Deathly Hallows.","One of the most analyzed fictional slurs in literary criticism. Its escalation from personal bigotry to state-sponsored persecution parallels historical registries targeting ethnic minorities.","Used primarily by old pure-blood families (Malfoys, Blacks, Lestranges). Considered unspeakable by most of wizarding society. More common in Britain's wizarding world where blood-purist ideology is strongest.","No one asked your opinion, you filthy little Mudblood!"
"Blood traitor","Race traitor / Class traitor","BLUD TRAY-tor","Noun (Insult)","Harry Potter","Books/Film","Toaster lover (BSG); Muggle-lover (Harry Potter); Symps (various)","Traitor; Sellout; Turncoat; Race traitor","Slur; Insult","Extreme","Bellatrix Lestrange, various Death Eaters","Harry Potter series (various)","An insult used by blood-purists against pure-blood wizards who associate with Muggle-borns or advocate for Muggle rights. The Weasley family is frequently targeted with this term.","Compound insult implying betrayal of one's 'blood' (pure-blood heritage) by fraternizing with those of 'lesser' blood. Mirrors real-world terms like 'race traitor.'","Consistent usage throughout the series. Always carries extreme contempt from the speaker.","Used throughout the Harry Potter series, primarily by Death Eaters and their sympathizers targeting the Weasley family and Dumbledore's allies.","Carries the full weight of ideological betrayal. In the blood-purist worldview, consorting with Muggle-borns is as offensive as being one.","Pure-blood supremacist circles in the British wizarding world.","The Weasleys are the biggest blood traitors of them all."
"Half-breed","Mixed-race slur","HAF-breed","Noun (Slur)","Harry Potter","Books/Film","Mutie (X-Men); Mud people (Artemis Fowl); Blanker (Noughts and Crosses)","Half-caste; Mongrel; Mixed (derogatory)","Slur","Extreme","Dolores Umbridge","Harry Potter series (various)","A bigoted term used against werewolves, centaurs, merpeople, and half-giants — anyone perceived as not fully human or not fully wizard.","Direct adaptation of a real-world slur applied to the wizarding context. Targets species mixing rather than ethnic mixing.","Used consistently as a term of contempt. Applied to Hagrid (half-giant), Remus Lupin (werewolf), and Firenze (centaur).","Used by characters like Umbridge and various Death Eaters throughout the series.","Functions identically to its real-world counterpart, carrying implications of impurity and lesser worth.","Used by human wizarding supremacists in the British wizarding world.","I really hate children. And half-breeds."
